Complexity metrics,÷‹ŒÂ, 15 3‘¬ 2024 15:58:12 CST
Method,CogC,ev(G),iv(G),v(G)
Exp.Exp(String),0,1,1,1
Exp.changePower(BigInteger),0,1,1,1
Exp.getVars(),1,1,2,2
Exp.unfoldContent(),0,1,1,1
"Expr.Expr(ArrayList<Term>, ArrayList<Token>)",0,1,1,1
Expr.getTerms(),0,1,1,1
Expr.getVars(),10,1,7,7
Function.Function(String),6,4,5,5
Function.getFunName(),0,1,1,1
Function.subFunction(String),30,1,17,18
Lexer.Lexer(String),20,4,5,16
Lexer.getPos(),0,1,1,1
Lexer.move(),0,1,1,1
Lexer.notEnd(),0,1,1,1
Lexer.nowToken(),0,1,1,1
Main.main(String[]),1,1,2,2
Num.Num(BigInteger),0,1,1,1
Num.getVars(),0,1,1,1
Operation.dealFunction(String),0,1,1,1
Operation.functionDeal(),19,1,7,8
Operation.getResult(),0,1,1,1
Operation.merge(),1,1,2,2
Operation.preDeal(),3,1,3,4
Operation.setBeforeStr(String),0,1,1,1
Operation.unfold(),11,1,5,6
Parser.Parser(Lexer),0,1,1,1
Parser.parserExpr(),2,1,3,3
Parser.parserFactor(),4,4,4,4
Parser.parserTerm(),19,1,10,10
"Term.Term(ArrayList<Factor>, ArrayList)",0,1,1,1
Term.getFactors(),0,1,1,1
Term.getVars(),10,1,5,5
"Token.Token(Type, String)",0,1,1,1
Token.getContent(),0,1,1,1
Token.getType(),0,1,1,1
Var.Var(String),0,1,1,1
"Var.changePower(BigInteger, String)",1,1,1,4
"Var.changeRatio(BigInteger, String)",1,1,1,4
Var.getOtherFactors(),0,1,1,1
Var.getPower(),0,1,1,1
Var.getRatio(),0,1,1,1
Var.getVarName(),0,1,1,1
Var.getVars(),0,1,1,1
Var.setOtherFactors(String),1,1,1,2

Class,OCavg,OCmax,WMC
Exp,1.25,2,5
Expr,2.67,6,8
Function,5.33,11,16
Lexer,3.80,15,19
Main,2.00,2,2
Num,1.00,1,2
Operation,3.29,8,23
Parser,3.75,8,15
Term,2.33,5,7
Token,1.00,1,3
Token.Type,n/a,n/a,0
Var,2.00,5,18

Package,v(G)avg,v(G)tot
,2.93,129

Module,v(G)avg,v(G)tot
hw1-2,2.93,129

Project,v(G)avg,v(G)tot
project,2.93,129

